candidate_id,rank,score,title,location,experience_years,career_fit,role_fit,skill_fit,experience_fit,company_fit,logistics_fit,behavior_fit,risk_penalty,risk_flags,top_evidence
CAND_0077337,1,1.000000,Staff Machine Learning Engineer,"Kochi, Kerala, India",7.0,1.0000,0.9532,1.0000,1.0000,0.9217,0.7200,0.8748,0.0000,,Staff Machine Learning Engineer with ranking; Senior NLP Engineer with semantic search; Senior NLP Engineer with semantic search; Senior AI Engineer with semantic search; Information Retrieval; Recommendation Systems; Semantic Search
CAND_0036184,2,0.999999,Recommendation Systems Engineer,"Trivandrum, Kerala, India",6.0,1.0000,0.8923,1.0000,0.9402,0.9060,0.7300,0.8693,0.0000,,Recommendation Systems Engineer with semantic search; AI Engineer with semantic search; Semantic Search; Embeddings; Vector Search
CAND_0064326,3,0.999998,Search Engineer,"Gurgaon, Haryana, India",7.6,1.0000,0.8822,0.8734,0.9641,1.0000,0.8800,0.8544,0.0000,,Search Engineer with ranking; Machine Learning Engineer with ranking; Machine Learning Engineer with ranking; Machine Learning Engineer with semantic search; Semantic Search; Weaviate; RAG
CAND_0018499,4,0.999997,Senior Machine Learning Engineer,"Noida, Uttar Pradesh, India",7.2,1.0000,0.9126,1.0000,0.9880,0.9400,0.9600,0.8501,0.0000,,Senior Machine Learning Engineer with ranking; Staff Machine Learning Engineer with ranking; Senior Machine Learning Engineer with ranking; Learning to Rank; Embeddings; Recommendation Systems
CAND_0081846,5,0.999996,Lead AI Engineer,"Jaipur, Rajasthan, India",6.7,1.0000,0.9734,1.0000,0.9820,0.9269,0.7200,0.8297,0.0000,,Lead AI Engineer with ranking; Senior Machine Learning Engineer with semantic search; Information Retrieval; Learning to Rank; Vector Search
CAND_0088025,6,0.999995,Staff Machine Learning Engineer,"Jaipur, Rajasthan, India",8.6,1.0000,0.9532,1.0000,0.9043,1.0000,0.7300,0.8063,0.0000,,Staff Machine Learning Engineer with ranking; Staff Machine Learning Engineer with ranking; Senior Machine Learning Engineer with semantic search; Learning to Rank; BM25; Elasticsearch
CAND_0071974,7,0.999994,Senior AI Engineer,"Vizag, Andhra Pradesh, India",7.8,1.0000,0.9937,1.0000,0.9521,0.7800,0.6800,0.7997,0.0000,,Senior AI Engineer with ranking; Staff Machine Learning Engineer with ranking; Staff Machine Learning Engineer with ranking; Embeddings; Information Retrieval; BM25
CAND_0041669,8,0.999993,Recommendation Systems Engineer,"Noida, Uttar Pradesh, India",8.0,1.0000,0.8923,1.0000,0.9402,0.9400,1.0000,0.7945,0.0000,,Recommendation Systems Engineer with ranking; Search Engineer with semantic search; NLP Engineer with ranking; Information Retrieval; Semantic Search; Milvus
CAND_0000031,9,0.999992,Recommendation Systems Engineer,"Hyderabad, Telangana, India",6.0,1.0000,0.8923,1.0000,0.9402,0.9033,0.8900,0.7925,0.0000,,Recommendation Systems Engineer with ranking; Search Engineer with ranking; NLP Engineer with ranking; Applied ML Engineer with ranking; Embeddings; Information Retrieval; Pinecone
CAND_0041610,10,0.999991,Recommendation Systems Engineer,"Indore, Madhya Pradesh, India",6.7,1.0000,0.8923,1.0000,0.9820,0.9269,0.7200,0.7914,0.0000,,Recommendation Systems Engineer with ranking; Machine Learning Engineer with ranking; Search Engineer with semantic search; Applied ML Engineer with production ML; Learning to Rank; Recommendation Systems; Embeddings
CAND_0077285,11,0.999990,Recommendation Systems Engineer,"Ahmedabad, Gujarat, India",5.5,1.0000,0.8923,1.0000,0.9102,0.8902,0.7300,0.7652,0.0000,,Recommendation Systems Engineer with ranking; Applied ML Engineer with production ML; AI Engineer with semantic search; Information Retrieval; Embeddings; Sentence Transformers
CAND_0068811,12,0.999989,Applied ML Engineer,"Pune, Maharashtra, India",8.0,1.0000,0.8224,1.0000,0.9402,0.9400,1.0000,0.7619,0.0000,,Applied ML Engineer with ranking; Recommendation Systems Engineer with ranking; AI Engineer with semantic search; Search Engineer with production ML; Vector Search; Pinecone; Embeddings
CAND_0011162,13,0.999988,Recommendation Systems Engineer,"Coimbatore, Tamil Nadu, India",5.8,1.0000,0.8923,1.0000,0.9282,0.8381,0.8100,0.7453,0.0000,,Recommendation Systems Engineer with ranking; Machine Learning Engineer with ranking; Recommendation Systems Engineer with production ML; Vector Search; FAISS; Pinecone
